build_id,build_nm,photo_path,explain_path,design,build_type,kor_flag,iso_flag,koppen,gfa,structure,re_year,re_cost,wall,roof,window,windowframe,airtight,windowcontrol,awning,n_ventilation,n_lighting,heating,cooling,coolheat,ventilation,lighting,sunlight,solarheat,geothermal,windpower,bio,fuelcell,cogeneration,ess,re_before_energy,re_after_energy,re_energy,re_before_emission,re_after_emission,re_emission,re_before_lcc,re_after_lcc,re_life_cycle_cost
45,한국 환경산업 기술원 연수동,img/search_fig/45.png,img/popup/explain 45.jpg,1,11,,410,dwa,3514,1,,4795000,"107, 102",,210,,,,,,,,,604,0,752,801,,,,,,,,1998763,667660,0.67,847476,283088,0.67,939605,32224373,0.68
46,인천 의료원 장례식장,img/search_fig/46.png,img/popup/explain 46.jpg,1,15,,410,dwa,3469,1,,,"107, 103, 102",,210,,556,,,,,556,,602,702,752,802,852,,,,,,,2004388,1225598,0.39,849861,519654,0.39,939605,32224373,0.68
47,춘천 교도소,img/search_fig/47.png,img/popup/explain 47.jpg,1,16,,410,dwa,112554,1,,770960,"103, 102",,210,401,,,401,,,,,602,703,"752, 753",,852,,,,,,,67982616,26393913,0.59,28824629,11191019,0.61,939605,32224373,0.68
48,목포 대학교 사회 과학관,img/search_fig/48.png,img/popup/explain 48.jpg,1,7,,410,cfa,13605,1,,2740000,"107, 102",,210,,,,,,,,,606,702,752,801,852,902,,,,,,4402578,2613521,0.41,1866693,1108133,0.41,939605,32224373,0.68
49,정읍시 연지청사,img/search_fig/49.png,img/popup/explain 49.jpg,1,11,,410,dfa,1739,1,,1641828,103,,,,,,,,,,,,702,752,801,852,,,,,,,536829,379102,0.29,227615,160739,0.29,939605,32224373,0.68
50,거창 여자고등학교,img/search_fig/50.png,img/popup/explain 50.jpg,1,7,,410,dwa,9487,1,,,103,,210,,,,,,,,,,702,752,801,852,,,,,,,2521645,1613739,0.36,1069177,684225,0.36,939605,32224373,0.68
51,통영시청 제2청사,img/search_fig/51.png,img/popup/explain 51.jpg,1,11,,410,cwa,5685,1,,,,,,,,,,,,,,,,,,,,,,,,,151210,85275,0.24,64113,36157,0.44,939605,32224373,0.68
52,영천시청 본관,img/search_fig/52.png,img/popup/explain 52.jpg,1,11,,410,cfa,5496,1,,,105,,,,,,,,,,,,702,,802,,,,,,,,778712,676008,0.13,330174,286627,0.13,939605,32224373,0.68
53,경찰청사 남관,img/search_fig/53.png,img/popup/explain 53.jpg,1,11,,410,dwa,3571,1,,,,,,,,,,,,,,,,,,,,,,,,,136315,87581,0.36,57798,37134,0.36,939605,32224373,0.68
54,서울도봉경찰서,img/search_fig/54.png,img/popup/explain 54.jpg,1,11,,410,dwa,9100,1,,,,,,,,,,,,,,,,752,,,,,,,,,779861,591500,0.24,330661,250796,0.24,939605,32224373,0.68
55,전라북도 농업기술원,img/search_fig/55.png,img/popup/explain 55.jpg,1,7,,410,dfa,14414,1,,,103,,,,,,,,,,,,,,,,,,,,,,665903,475662,0.28,282343,201681,0.29,939605,32224373,0.68
56,통영시 수산과학관,img/search_fig/56.png,img/popup/explain 56.jpg,1,7,,410,cwa,3587,1,,,109,,,,,,,,,,,,,,,,,,,,,,101871,57392,0.24,43193,24334,0.44,939605,32224373,0.68
57,목포자연사박물관 자연사관동,img/search_fig/57.png,img/popup/explain 57.jpg,1,7,,410,cfa,6611,1,,,103,,,,,,,,,,,,,,,,,,,,,,367566,284273,0.22,155848,120532,0.23,939605,32224373,0.68
58,동학농민혁명기념관(전시관동),img/search_fig/58.png,img/popup/explain 58.jpg,1,3,,410,dfa,3946,1,,,,,210,,,,,,,,,,,,,,,,,,,,380365,292004,0.23,161275,123810,0.23,939605,32224373,0.68
59,서울대학교 052(예술관(미대)3),img/search_fig/59.png,img/popup/explain 59.jpg,1,7,,410,dwa,4384,1,,,,,,,,,,,,,,,,752,,,,,,,,,586977,306880,0.48,248878,130117,0.48,939605,32224373,0.68
60,서울대학교 021(약학관1),img/search_fig/60.png,img/popup/explain 60.jpg,1,7,,410,dwa,6576,1,,,,,,,,,,,,,,,,752,,,,,,,,,393872,170976,0.42,167002,72494,0.57,939605,32224373,0.68
