explain_path,photo_path,name,con_yr,re_yr,bldg_type,bldg_loc,Area,gr_floor,under_floor,re_cost,energy_reduction,co2_reduction
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_73.png,img/rec_fig/73.png,피닉스호텔,1976.00,2017.00,12.00,14.00,6858.00,15.00,2.00,7300000.00,0.63,0.63
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_74.png,img/rec_fig/74.png,한국외국어대학교 글로벌캠퍼스 인문경상관,1985.00,2017.00,7.00,2.00,6599.00,4.00,1.00,1100000000.00,0.46,0.46
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_75.png,img/rec_fig/75.png,경기도 용인시 처인구 단독주택,1996.00,2016.00,1.00,2.00,199.00,2.00,1.00,35000000.00,0.38,0.38
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_76.png,img/rec_fig/76.png,광주 계림동 숙박시설 금수장관광호텔,1998.00,2016.00,12.00,10.00,3163.00,5.86,1.00,140000000.00,0.33,0.33
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_77.png,img/rec_fig/77.png,서초동 업무시설,1995.00,2015.00,11.00,1.00,14514.00,5.86,1.00,495000000.00,0.31,0.31
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_78.png,img/rec_fig/78.png,국도화학 공장,1997.00,2016.00,11.00,1.00,4826.00,5.86,1.00,1717100000.00,0.27,0.27
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_79.png,img/rec_fig/79.png,한국외대 글로벌 캠퍼스 어문학관,2002.00,2015.00,7.00,2.00,13172.00,4.00,1.00,3000000000.00,0.33,0.33
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_80.png,img/rec_fig/80.png,경북 영주 문수면 사무소,1985.00,2013.00,11.00,11.00,892.00,5.86,1.00,1333000.00,0.34,0.34
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_81.png,img/rec_fig/81.png,충북대학교 생활관(진리관),1990.00,2013.00,7.00,4.00,2655.00,5.86,1.00,2350000.00,0.36,0.36
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_82.png,img/rec_fig/82.png,전북 고창 동리국악당(신재효고택동리국악당),1990.00,2014.00,3.00,8.00,2248.00,5.86,1.00,2550000.00,0.27,0.27
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_83.png,img/rec_fig/83.png,충북 청주 시립 미술관,1978.00,2015.00,3.00,4.00,4546.00,5.86,1.00,3469000.00,0.41,0.41
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_84.png,img/rec_fig/84.png,서울세관 2동 청사,1982.00,2015.00,11.00,1.00,13346.00,5.86,1.00,2370000.00,0.32,0.32
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_85.png,img/rec_fig/85.png,경기도청 제2별관,1990.00,2014.00,11.00,2.00,8120.00,8.00,2.00,1312181.00,0.35,0.35
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_86.png,img/rec_fig/86.png,경북 문경시청사,1990.00,2015.00,11.00,11.00,10067.00,4.00,1.00,3500000.00,0.22,0.22
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_87.png,img/rec_fig/87.png,한국수자원공사 물사랑어린이집,1988.00,2015.00,8.00,6.00,550.00,2.00,1.00,350000.00,0.22,0.22
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_88.png,img/rec_fig/88.png,한국건설기술연구원 (구교통연구원),1988.00,2015.00,11.00,2.00,8145.00,5.86,1.00,1321000.00,0.45,0.45
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_89.png,img/rec_fig/89.png,전남 무안군 농업기술센터,1988.00,2016.00,11.00,9.00,932.00,2.00,1.00,1067604.00,0.31,0.31
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_90.png,img/rec_fig/90.png,광주 시립 청소년 삶 디자인센터,1967.00,2015.00,6.00,10.00,8415.00,6.00,1.00,11300000.00,0.22,0.22
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_91.png,img/rec_fig/91.png,제주 서귀포의료원 (산후조리원),1982.00,2015.00,6.00,17.00,3624.00,4.00,2.00,2826745.00,0.29,0.29
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_92.png,img/rec_fig/92.png,한국도로공사 군위지사,1995.00,2015.00,11.00,11.00,1896.00,2.00,1.00,2041000.00,0.24,0.24
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_93.png,img/rec_fig/93.png,한국과학기술원 기계공학동,1993.00,2016.00,7.00,6.00,30387.00,7.00,1.00,10130000.00,0.19,0.19
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_94.png,img/rec_fig/94.png,김포국제공항,1980.00,2018.00,11.00,1.00,77775.00,4.00,1.00,67600000.00,0.32,0.32
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_95.png,img/rec_fig/95.png,경기도 따복기숙사(경기도기숙사),1984.00,2017.00,2.00,2.00,5510.00,5.00,1.00,11980368.00,0.19,0.19
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_96.png,img/rec_fig/96.png,서울 강동구청 별관(성안별관),1979.00,2017.00,11.00,1.00,4705.00,5.00,1.00,8912760.00,0.74,0.74
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_97.png,img/rec_fig/97.png,대구 수성구청 별관,2003.00,2018.00,11.00,13.00,3100.00,5.00,1.00,1520000.00,0.26,0.26
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_98.png,img/rec_fig/98.png,한국도로공사 홍천지사,1995.00,2017.00,11.00,16.00,1922.00,5.86,1.00,2019000.00,0.49,0.49
