Id,사진,이름,준공년도,리모델링년도,빌딩타입,위치,면적,지상층수,지하층수,전_에너지소비량,후_에너지소비량,에너지저감율,전_벽열관류율,후_벽열관류율,벽열관류율_향상율,전_바닥열관류율,후_바닥열관류율,바닥열관류율_향상율,전_지붕열관류율,후_지붕열관류율,지붕열관류율_향상율,전_창문열관류율,후_창문열관류율,창문열관류율_향상율,전_기밀성,후_기밀성,기밀성_향상율,전_일사차폐계수,후_일사차폐계수,일사차폐계수_향상율,전_이산화탄소배출량,후_이산화탄소배출량,이산화탄소배출량_향상율
55,,전라북도 농업기술원,1988.588235,2015.619048,7,8,14413.5,3,0,665903,475662,0.279,0.756,0.129,0.829365079,0.756,0.29,0.616402116,0.523,0.12,0.770554493,3.2,1.277,0.6009375,37.58,5,0.866950506,2.61,0.595,0.772030651,282343,201681,0.285687975
56,,통영시 수산과학관,1988.588235,2015.619048,7,12,3587,2,1,101871,57392,0.2435,0.604,0.02,0.966887417,0.604,0.35,0.420529801,0.148,0.18,-0.216216216,3.7,1.8,0.513513514,37.58,5,0.866950506,2.61,0.595,0.772030651,43193,24334,0.436621675
57,,목포자연사박물관 자연사관동,1988.588235,2015.619048,7,9,6610.9,4.298245614,0.979591837,367566,284273,0.223,0.55,0.32,0.418181818,0.526,0.35,0.33460076,0.47,0.18,0.617021277,4,1.8,0.55,37.58,5,0.866950506,2.61,0.595,0.772030651,155848,120532,0.22660541
58,,동학농민혁명기념관(전시관동),1988.588235,2015.619048,3,8,3945.7,4.298245614,0.979591837,380365,292004,0.2282,0.604,0.24,0.602649007,0.604,0.29,0.51986755,0.418,0.15,0.641148325,3.1,0.848,0.726451613,37.58,5,0.866950506,2.61,0.595,0.772030651,161275,123810,0.232305069
59,,서울대학교 052(예술관(미대)3),1988.588235,2015.619048,7,1,4383.7,4.298245614,0.979591837,586977,306880,0.481,2.095,0.24,0.885441527,1.746,0.29,0.833906071,1.047,0.15,0.856733524,4,1.5,0.625,37.58,5,0.866950506,2.61,0.595,0.772030651,248878,130117,0.477185609
60,,서울대학교 021(약학관1),1988.588235,2015.619048,7,1,6575.5,4.298245614,0.979591837,393872,170976,0.418,2.095,0.24,0.885441527,1.746,0.29,0.833906071,1.047,0.15,0.856733524,4,1.5,0.625,37.58,5,0.866950506,2.61,0.595,0.772030651,167002,72494,0.56590939
61,,충남대학교 실내체육관,1988.588235,2015.619048,7,6,3682,4.298245614,0.979591837,354208,279832,0.2058,0.582,0.24,0.587628866,1.164,0.29,0.750859107,0.582,0.15,0.742268041,3.492,1.5,0.570446735,37.58,5,0.866950506,2.61,0.595,0.772030651,150184,118649,0.209975763
62,,충남대학교 중앙도서관,1988.588235,2015.619048,7,6,21618,4.298245614,0.979591837,727803,465161,0.361,1.544,0.161,0.895725389,1.407,0.29,0.793887704,0.644,0.15,0.767080745,4,1.5,0.625,37.58,5,0.866950506,2.61,0.595,0.772030651,308588,197228,0.360869509
63,,수정청소년수련관,1988.588235,2015.619048,9,2,7746.4,4.298245614,0.979591837,764569,503490,0.3434,0.582,0.24,0.587628866,0.582,0.29,0.501718213,0.407,0.15,0.631449631,4,1.5,0.625,37.58,5,0.866950506,2.61,0.595,0.772030651,324177,213480,0.341470863
64,,동작구문화복지센터(보건소),1988.588235,2015.619048,6,1,10022,4.298245614,0.979591837,927035,831826,0.1027,0.582,0.24,0.587628866,0.582,0.29,0.501718213,0.407,0.15,0.631449631,2.9,1.374,0.526206897,37.58,5,0.866950506,2.61,0.595,0.772030651,393063,352694,0.102703638
65,,단양 수련시설,1994,2015,9,4,8220.18,5.862068966,1,907507.87,630487.8,0.305253628,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,384783,267327,0.305252571
66,,여수 하희현가 그린리모델링,1998,2017,1,9,18184,3,0,4451443.2,2751239.2,0.381944444,0.946,0.104,0.890063425,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,0.89,0.752089136,37.58,5,0.866950506,0.62,0.35,0.435483871,1887412,1166525,0.381944695
67,,외유내강,1969,2017,1,14,204.82,2,1,59336.35,38710.98,0.347600923,0.946,0.22,0.76744186,0.328,0.22,0.329268293,0.56,0.18,0.678571429,3.59,1.2,0.665738162,37.58,5,0.866950506,0.62,0.35,0.435483871,25158,16413,0.347603148
68,,부평 단독주택,1984,2016,1,3,146.13,2,1,109907.29,37999.64,0.654257329,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,46601,16112,0.654256346
69,,경기도 수원시 권선구 단독주택 2층,1987,2016,1,2,209.43,2,1,8560,5747,0.328621495,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,3629,2437,0.328465142
