,pic,name,loc,BT,Area,ER,UWaB,UWaA,UFB,UFA,URB,URA,UWiB,UWiA,ATB,ATA,SCB,SCA
99,img/rec_fig/100.png,한국교통대학교 건축관,4,7,2666,0.513837638,0.946,0.21,0.328,0.29,0.56,0.15,3.59,1.7,37.58,5,0.62,0.35
100,img/rec_fig/101.png,대구시 대명동 상가주택,13,1,6820.330732,0.488089301,2.6529,0.2948,0.328,0.35,0.56,0.18,5.3,3.1,37.58,5,0.62,0.35
101,img/rec_fig/102.png,경기도 안양시 ARK,2,1,204,0.442626687,0.946,0.219,0.328,0.29,0.56,0.15,3.59,0.933,37.58,0.63,0.62,0.35
102,img/rec_fig/103.png,DPR Construction Phoenix Regional Office(NZEB),23,11,1519.43,0.99,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
103,img/rec_fig/104.png,The George D. Aiken Center at the University of Vermont,25,7,3716.12,0.63,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
104,img/rec_fig/105.png,5Pev,56,2,84.08,0.69,0.946,0.44,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
105,img/rec_fig/106.png,A2Dominion- Northholt,32,2,79.9,0.5,0.946,0.16,1.312,0.45,1.037,0.05,3.596,0.9,37.58,5,2.61,0.595
106,img/rec_fig/107.png,Almshouses,34,2,27.87,0.8,0.946,0.7,1.312,0.54,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
107,img/rec_fig/108.png,Barbrook PassivHaus,33,2,71.07,0.88,0.946,0.13,1.312,0.2,1.037,0.1,3.596,3.3,37.58,5,2.61,0.595
108,img/rec_fig/109.png,BISF Steel Frame House,34,2,88.26,0.46,0.946,0.11,1.312,0.43,1.037,0.17,3.596,1.5,37.58,5,2.61,0.595
109,img/rec_fig/110.png,Bringing Wates homes into the Future,49,2,75.25,0.65,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
110,img/rec_fig/111.png,Bristol Retrofit,35,2,188.13,0.66,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
111,img/rec_fig/112.png,City West Homes,32,2,59.46,0.71,0.946,0.35,1.312,0.48,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
112,img/rec_fig/113.png,Compton,,,,,,,,,,,,,,,,
113,img/rec_fig/114.png,Hospital in Egypt,66,2,31029.6,0.41,0.946,0.4,1.312,0.45,1.037,0.25,3.596,3.14,37.58,5,2.61,0.595
114,img/rec_fig/115.png,435 Indio Way(NZEB),20,11,2950.6,0.99,0.946,0.05,1.312,0.45,1.037,0.025,3.596,0.4,37.58,5,2.61,0.595
115,img/rec_fig/116.png,mid-terrace Victorian house,32,2,60.39,0.79,0.946,0.35,1.312,0.45,1.037,0.25,3.596,2.7,37.58,5,2.61,0.595
116,img/rec_fig/117.png,Chale Green,37,2,88.26,0.86,0.946,0.15,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
117,img/rec_fig/118.png,Crawley Homes,38,2,90.58,0.61,0.946,0.15,1.312,0.38,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
118,img/rec_fig/119.png,Drum Housing Association,40,2,68.75,0.69,0.946,0.35,1.312,0.22,1.037,0.16,3.596,3.3,37.58,5,2.61,0.595
119,img/rec_fig/120.png,Penwith Housing,41,2,65.03,0.78,0.946,0.2,1.312,0.02,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
120,img/rec_fig/121.png,Sarsen Housing,42,2,76.18,0.88,0.946,0.25,1.312,0.45,1.037,0.15,3.596,3.3,37.58,5,2.61,0.595
121,img/rec_fig/122.png,East Midlands Housing,43,2,70.61,0.87,0.946,0.12,1.312,0.12,1.037,0.1,3.596,3.3,37.58,5,2.61,0.595
122,img/rec_fig/123.png,Grove Housing Association,63,2,89.19,0.84,0.946,0.15,1.312,0.1,1.037,0.1,3.596,0.8,37.58,5,2.61,0.595
123,img/rec_fig/124.png,Eco-retrofit Bolton,35,2,83.61,0.38,0.946,0.15,1.312,0.201,1.037,0.15,3.596,0.7,37.58,5,2.61,0.595
124,img/rec_fig/125.png,BYRON G. ROGERS FEDERAL BUILDING,22,10,45986.99,0.51,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
125,img/rec_fig/126.png,Eco-retrofit Brierfield,44,2,169.08,0.54,0.946,0.2,1.312,0.171,1.037,0.163,3.596,0.9,37.58,5,2.61,0.595
126,img/rec_fig/127.png,Eco-retrofit Colne,44,2,88.72,0.18,0.946,0.15,1.312,0.201,1.037,0.15,3.596,0.7,37.58,5,2.61,0.595
127,img/rec_fig/128.png,Eco-retrofit Ealing,32,2,116.13,0.23,0.946,0.15,1.312,0.201,1.037,0.15,3.596,0.81,37.58,5,2.61,0.595
128,img/rec_fig/129.png,Eco-retrofit Orpington,52,2,94.76,0.32,0.946,0.35,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
129,img/rec_fig/130.png,Eltham,,,,,,,,,,,,,,,,
130,img/rec_fig/131.png,Enfield Homes retrofit,,,,,,,,,,,,,,,,
131,img/rec_fig/132.png,Flagship Retrofit,62,2,62.71,0.71,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
132,img/rec_fig/133.png,Gentoo Retrofit,50,2,78.04,0.79,0.946,0.13,1.312,0.45,1.037,0.11,3.596,1.1,37.58,5,2.61,0.595
133,img/rec_fig/134.png,Gentoo Retrofit Bid 2,50,2,78.04,0.87,0.946,0.13,1.312,0.45,1.037,0.11,3.596,1.1,37.58,5,2.61,0.595
134,img/rec_fig/135.png,Gentoo Retrofit Bid 3,50,2,64.1,0.8,0.946,0.13,1.312,0.45,1.037,0.11,3.596,1.1,37.58,5,2.61,0.595
135,img/rec_fig/136.png,Green Structures(PCM),32,2,100.34,0.92,0.946,0.2,1.312,0.45,1.037,0.25,3.596,0.5,37.58,5,2.61,0.595
136,img/rec_fig/137.png,Grove Cottage,83,2,134.71,0.57,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
137,img/rec_fig/138.png,Hanley,,,,,,,,,,,,,,,,
138,img/rec_fig/139.png,Hard to Heat Homes,46,2,48.31,0.69,0.946,0.15,1.312,0.15,1.037,0.09,3.596,0.8,37.58,5,2.61,0.595
139,img/rec_fig/140.png,Harrow Road Retrofit,31,2,124.95,0.69,0.946,0.13,1.312,0.45,1.037,0.1,3.596,3.3,37.58,5,2.61,0.595
140,img/rec_fig/141.png,Hounslow Council,32,2,84.54,0.89,0.946,0.095,1.312,0.8,1.037,0.11,3.596,0.7,37.58,5,2.61,0.595
141,img/rec_fig/142.png,Hounslow Passivhaus Retrofit,32,2,84.54,0.87,0.946,0.35,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
142,img/rec_fig/143.png,Ilford,,,,,,,,,,,,,,,,
143,img/rec_fig/144.png,Property in Whitehaven,48,2,76.18,0.79,0.946,0.15,1.312,0.2,1.037,0.1,3.596,0.7,37.58,5,2.61,0.595
144,img/rec_fig/145.png,Inspiration Birmingham 2020,85,2,158.86,0.77,0.946,0.2,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
145,img/rec_fig/146.png,Prewett Bizley Architects,32,2,105.91,0.77,0.946,0.35,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
146,img/rec_fig/147.png,Isos Housing Group,50,2,70.61,0.82,0.946,0.25,1.312,0.17,1.037,0.08,3.596,3.3,37.58,5,2.61,0.595
147,img/rec_fig/148.png,L&Q Group,,,,,,,,,,,,,,,,
148,img/rec_fig/149.png,LB Greenwich,32,2,108.7,0.93,0.946,0.1,1.312,0.13,1.037,0.1,3.596,0.7,37.58,5,2.61,0.595
149,img/rec_fig/150.png,Lena Gardens,32,2,195.1,0.82,0.946,0.1,1.312,0.1,1.037,0.1,3.596,3.3,37.58,5,2.61,0.595
150,img/rec_fig/151.png,Leicester Housing Association,31,2,87.33,0.56,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
151,img/rec_fig/152.png,Hastoe Housing Association,51,2,51.1,0.93,0.946,0.35,1.312,0.47,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
152,img/rec_fig/153.png,Low Carbon Sheppey,52,2,74.32,0.55,0.946,0.2,1.312,0.4,1.037,0.1,3.596,1.1,37.58,5,2.61,0.595
153,img/rec_fig/154.png,Hay Tor,53,2,78.5,0.49,0.946,0.21,1.312,0.19,1.037,0.25,3.596,1,37.58,5,2.61,0.595
